"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|GB","Without Sequence","54.92","",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|GB","Without Sequence","45.96","",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|GB","Without Sequence","41.00","",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|GB","Without Sequence","40.98","",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|GB","Without Sequence","35.91","",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|GB","Without Sequence","36.58","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|GB","Without Sequence","36.55","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|GB","Without Sequence","36.07","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|GB","Without Sequence","35.50","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|GB","Without Sequence","34.29","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|GB","Without Sequence","30.43","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|GB","Without Sequence","35.18","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|GB","Without Sequence","38.51","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|GB","Without Sequence","41.12","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|GB","Without Sequence","43.25","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|GB","Without Sequence","51.46","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|GB","Without Sequence","51.21","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|GB","Without Sequence","42.98","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|GB","Without Sequence","45.12","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|GB","Without Sequence","37.48","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|GB","Without Sequence","37.06","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|GB","Without Sequence","37.06","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|GB","Without Sequence","54.97","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|GB","Without Sequence","90.73","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|GB","Without Sequence","58.51","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|GB","Without Sequence","42.43","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|GB","Without Sequence","36.58","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|GB","Without Sequence","38.98","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|GB","Without Sequence","36.05","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|GB","Without Sequence","36.01","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|GB","Without Sequence","36.02","",""
