"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|GB","Without Sequence","42.65","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|GB","Without Sequence","42.61","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|GB","Without Sequence","44.03","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|GB","Without Sequence","44.77","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|GB","Without Sequence","49.24","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|GB","Without Sequence","53.01","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|GB","Without Sequence","53.01","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|GB","Without Sequence","67.03","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|GB","Without Sequence","72.67","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|GB","Without Sequence","74.42","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|GB","Without Sequence","56.89","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|GB","Without Sequence","50.00","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|GB","Without Sequence","44.10","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|GB","Without Sequence","44.53","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|GB","Without Sequence","44.53","",""
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|GB","Without Sequence","64.10","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|GB","Without Sequence","74.99","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|GB","Without Sequence","64.69","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|GB","Without Sequence","52.01","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|GB","Without Sequence","54.31","",""
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|GB","Without Sequence","52.10","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|GB","Without Sequence","43.59","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|GB","Without Sequence","42.99","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|GB","Without Sequence","45.90","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|GB","Without Sequence","45.42","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|GB","Without Sequence","44.87","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|GB","Without Sequence","44.87","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|GB","Without Sequence","42.94","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|GB","Without Sequence","43.57","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|GB","Without Sequence","46.97","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|GB","Without Sequence","52.02","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|GB","Without Sequence","60.89","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|GB","Without Sequence","64.61","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|GB","Without Sequence","64.82","",""
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|GB","Without Sequence","63.80","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|GB","Without Sequence","62.78","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|GB","Without Sequence","62.86","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|GB","Without Sequence","61.44","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|GB","Without Sequence","52.00","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|GB","Without Sequence","77.68","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|GB","Without Sequence","100.00","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|GB","Without Sequence","71.20","",""
"05/01/2018 19:00:00 - 05/01/2018 20:00:00","BZN|GB","Without Sequence","55.10","",""
"05/01/2018 20:00:00 - 05/01/2018 21:00:00","BZN|GB","Without Sequence","61.89","",""
"05/01/2018 21:00:00 - 05/01/2018 22:00:00","BZN|GB","Without Sequence","52.01","",""
"05/01/2018 22:00:00 - 05/01/2018 23:00:00","BZN|GB","Without Sequence","42.81","",""
"05/01/2018 23:00:00 - 06/01/2018 00:00:00","BZN|GB","Without Sequence","54.82","",""
"06/01/2018 00:00:00 - 06/01/2018 01:00:00","BZN|GB","Without Sequence","54.38","",""
"06/01/2018 01:00:00 - 06/01/2018 02:00:00","BZN|GB","Without Sequence","49.43","",""
"06/01/2018 02:00:00 - 06/01/2018 03:00:00","BZN|GB","Without Sequence","45.41","",""
"06/01/2018 03:00:00 - 06/01/2018 04:00:00","BZN|GB","Without Sequence","43.10","",""
"06/01/2018 04:00:00 - 06/01/2018 05:00:00","BZN|GB","Without Sequence","39.99","",""
"06/01/2018 05:00:00 - 06/01/2018 06:00:00","BZN|GB","Without Sequence","35.00","",""
"06/01/2018 06:00:00 - 06/01/2018 07:00:00","BZN|GB","Without Sequence","39.06","",""
"06/01/2018 07:00:00 - 06/01/2018 08:00:00","BZN|GB","Without Sequence","42.59","",""
"06/01/2018 08:00:00 - 06/01/2018 09:00:00","BZN|GB","Without Sequence","44.95","",""
"06/01/2018 09:00:00 - 06/01/2018 10:00:00","BZN|GB","Without Sequence","49.15","",""
"06/01/2018 10:00:00 - 06/01/2018 11:00:00","BZN|GB","Without Sequence","60.06","",""
"06/01/2018 11:00:00 - 06/01/2018 12:00:00","BZN|GB","Without Sequence","55.29","",""
"06/01/2018 12:00:00 - 06/01/2018 13:00:00","BZN|GB","Without Sequence","54.30","",""
"06/01/2018 13:00:00 - 06/01/2018 14:00:00","BZN|GB","Without Sequence","46.07","",""
"06/01/2018 14:00:00 - 06/01/2018 15:00:00","BZN|GB","Without Sequence","44.04","",""
"06/01/2018 15:00:00 - 06/01/2018 16:00:00","BZN|GB","Without Sequence","44.07","",""
"06/01/2018 16:00:00 - 06/01/2018 17:00:00","BZN|GB","Without Sequence","55.00","",""
"06/01/2018 17:00:00 - 06/01/2018 18:00:00","BZN|GB","Without Sequence","78.09","",""
"06/01/2018 18:00:00 - 06/01/2018 19:00:00","BZN|GB","Without Sequence","68.17","",""
"06/01/2018 19:00:00 - 06/01/2018 20:00:00","BZN|GB","Without Sequence","55.10","",""
"06/01/2018 20:00:00 - 06/01/2018 21:00:00","BZN|GB","Without Sequence","55.04","",""
"06/01/2018 21:00:00 - 06/01/2018 22:00:00","BZN|GB","Without Sequence","50.92","",""
"06/01/2018 22:00:00 - 06/01/2018 23:00:00","BZN|GB","Without Sequence","44.42","",""
"06/01/2018 23:00:00 - 07/01/2018 00:00:00","BZN|GB","Without Sequence","47.98","",""
"07/01/2018 00:00:00 - 07/01/2018 01:00:00","BZN|GB","Without Sequence","50.00","",""
"07/01/2018 01:00:00 - 07/01/2018 02:00:00","BZN|GB","Without Sequence","47.00","",""
"07/01/2018 02:00:00 - 07/01/2018 03:00:00","BZN|GB","Without Sequence","44.91","",""
"07/01/2018 03:00:00 - 07/01/2018 04:00:00","BZN|GB","Without Sequence","42.09","",""
"07/01/2018 04:00:00 - 07/01/2018 05:00:00","BZN|GB","Without Sequence","41.31","",""
"07/01/2018 05:00:00 - 07/01/2018 06:00:00","BZN|GB","Without Sequence","41.07","",""
"07/01/2018 06:00:00 - 07/01/2018 07:00:00","BZN|GB","Without Sequence","41.83","",""
"07/01/2018 07:00:00 - 07/01/2018 08:00:00","BZN|GB","Without Sequence","41.42","",""
"07/01/2018 08:00:00 - 07/01/2018 09:00:00","BZN|GB","Without Sequence","43.51","",""
"07/01/2018 09:00:00 - 07/01/2018 10:00:00","BZN|GB","Without Sequence","49.09","",""
"07/01/2018 10:00:00 - 07/01/2018 11:00:00","BZN|GB","Without Sequence","53.06","",""
"07/01/2018 11:00:00 - 07/01/2018 12:00:00","BZN|GB","Without Sequence","50.76","",""
"07/01/2018 12:00:00 - 07/01/2018 13:00:00","BZN|GB","Without Sequence","55.00","",""
"07/01/2018 13:00:00 - 07/01/2018 14:00:00","BZN|GB","Without Sequence","55.00","",""
